date,week,year,month,Lane,shipment,Holiday Flag,Quarter,Previous Week Shipment,Previous Year Shipment,Moving Average Shipment,Encoded_Lane,shipment_standardized,shipment_transformed,Predicted_shipment
2023-11-06,45,2023,11,DE02_29143048,4,0,4,1,2,3,1,0.7445323775710415,12.4,4
2023-11-13,46,2023,11,DE02_29143048,3,0,4,4,2,3,1,0.3188514140339974,5.8353829072479595,3
2023-11-20,47,2023,11,DE02_29143048,6,0,4,3,4,3,1,1.59589430464513,34.87265229607775,6
2023-11-27,48,2023,11,DE02_29143048,2,0,4,6,4,3,1,-0.10682954950304675,1.8627416997969521,2
2023-12-04,49,2023,12,DE02_29143048,5,0,4,2,2,4,1,1.1702133411080857,21.960679774997896,5
2023-12-11,50,2023,12,DE02_29143048,3,0,4,5,3,4,1,0.3188514140339974,5.8353829072479595,3
2023-12-18,51,2023,12,DE02_29143048,7,0,4,3,9,4,1,2.021575268182174,51.456725696865945,7
2023-12-25,52,2023,12,DE02_29143048,2,1,4,7,2,4,1,-0.10682954950304675,1.8627416997969521,2
2023-11-06,45,2023,11,DE02_29143975,3,0,4,0,5,1,1,0.3188514140339974,5.8353829072479595,3
2023-11-13,46,2023,11,DE02_29143975,6,0,4,3,1,2,1,1.59589430464513,34.87265229607775,6
2023-11-20,47,2023,11,DE02_29143975,1,0,4,6,0,2,1,-0.5325105130400909,0.0,1
2023-11-27,48,2023,11,DE02_29143975,3,0,4,1,2,3,1,0.3188514140339974,5.8353829072479595,3
2023-12-04,49,2023,12,DE02_29143975,6,0,4,3,4,4,1,1.59589430464513,34.87265229607775,6
2023-12-11,50,2023,12,DE02_29143975,1,0,4,6,1,2,1,-0.5325105130400909,0.0,1
2023-12-18,51,2023,12,DE02_29143975,1,0,4,1,3,2,1,-0.5325105130400909,0.0,1
2023-12-25,52,2023,12,DE02_29143975,1,1,4,1,5,2,1,-0.5325105130400909,0.0,1
2023-11-06,45,2023,11,DE05_29144321,1,0,4,2,1,1,2,-0.5325105130400909,0.0,1
2023-11-13,46,2023,11,DE05_29144321,4,0,4,1,1,2,2,0.7445323775710415,12.4,4
2023-11-20,47,2023,11,DE05_29144321,3,0,4,4,3,2,2,0.3188514140339974,5.8353829072479595,3
2023-11-27,48,2023,11,DE05_29144321,1,0,4,3,3,2,2,-0.5325105130400909,0.0,1
2023-12-04,49,2023,12,DE05_29144321,1,0,4,1,3,2,2,-0.5325105130400909,0.0,1
2023-12-11,50,2023,12,DE05_29144321,1,0,4,1,3,1,2,-0.5325105130400909,0.0,1
2023-12-18,51,2023,12,DE05_29144321,6,0,4,1,8,2,2,1.59589430464513,34.87265229607775,6
2023-12-25,52,2023,12,DE05_29144321,2,1,4,6,4,2,2,-0.10682954950304675,1.8627416997969521,2
2023-11-06,45,2023,11,DE05_29144476,9,0,4,4,2,5,2,2.8729371952562626,96.80000000000005,9
2023-11-13,46,2023,11,DE05_29144476,3,0,4,9,2,5,2,0.3188514140339974,5.8353829072479595,3
2023-11-20,47,2023,11,DE05_29144476,0,0,4,3,6,4,2,-0.9581914765771351,-0.4,0
2023-11-27,48,2023,11,DE05_29144476,5,0,4,0,9,4,2,1.1702133411080857,21.960679774997896,5
2023-12-04,49,2023,12,DE05_29144476,3,0,4,5,2,2,2,0.3188514140339974,5.8353829072479595,3
2023-12-11,50,2023,12,DE05_29144476,4,0,4,3,1,3,2,0.7445323775710415,12.4,4
2023-12-18,51,2023,12,DE05_29144476,7,0,4,4,6,4,2,2.021575268182174,51.456725696865945,7
2023-12-25,52,2023,12,DE05_29144476,5,1,4,7,7,4,2,1.1702133411080857,21.960679774997896,5
2023-11-06,45,2023,11,DE05_29146035,5,0,4,3,5,9,0,1.1702133411080857,21.960679774997896,5
2023-11-13,46,2023,11,DE05_29146035,5,0,4,5,8,8,0,1.1702133411080857,21.960679774997896,5
2023-11-20,47,2023,11,DE05_29146035,8,0,4,5,9,5,0,2.4472562317192184,72.00773439350245,8
