date,week,year,month,Lane,shipment,Holiday Flag,Quarter,Previous Week Shipment,Previous Year Shipment,Moving Average Shipment,Encoded_Lane,shipment_sqrt_transform,Predicted_shipment
2023-11-06,45,2023,11,DE02_29143048,4,0,4,1,2,3,1,2.0,1
2023-11-13,46,2023,11,DE02_29143048,3,0,4,4,2,3,1,1.7320508075688772,4
2023-11-20,47,2023,11,DE02_29143048,6,0,4,3,4,3,1,2.449489742783178,4
2023-11-27,48,2023,11,DE02_29143048,2,0,4,6,4,3,1,1.4142135623730951,4
2023-12-04,49,2023,12,DE02_29143048,5,0,4,2,2,4,1,2.23606797749979,4
2023-12-11,50,2023,12,DE02_29143048,3,0,4,5,3,4,1,1.7320508075688772,4
2023-12-18,51,2023,12,DE02_29143048,7,0,4,3,9,4,1,2.6457513110645907,9
2023-12-25,52,2023,12,DE02_29143048,2,1,4,7,2,4,1,1.4142135623730951,1
2023-11-06,45,2023,11,DE02_29143975,3,0,4,0,5,1,1,1.7320508075688772,4
2023-11-13,46,2023,11,DE02_29143975,6,0,4,3,1,2,1,2.449489742783178,4
2023-11-20,47,2023,11,DE02_29143975,1,0,4,6,0,2,1,1.0,1
2023-11-27,48,2023,11,DE02_29143975,3,0,4,1,2,3,1,1.7320508075688772,4
2023-12-04,49,2023,12,DE02_29143975,6,0,4,3,4,4,1,2.449489742783178,4
2023-12-11,50,2023,12,DE02_29143975,1,0,4,6,1,2,1,1.0,1
2023-12-18,51,2023,12,DE02_29143975,1,0,4,1,3,2,1,1.0,1
2023-12-25,52,2023,12,DE02_29143975,1,1,4,1,5,2,1,1.0,1
2023-11-06,45,2023,11,DE05_29144321,1,0,4,2,1,1,2,1.0,1
2023-11-13,46,2023,11,DE05_29144321,4,0,4,1,1,2,2,2.0,1
2023-11-20,47,2023,11,DE05_29144321,3,0,4,4,3,2,2,1.7320508075688772,4
2023-11-27,48,2023,11,DE05_29144321,1,0,4,3,3,2,2,1.0,4
2023-12-04,49,2023,12,DE05_29144321,1,0,4,1,3,2,2,1.0,1
2023-12-11,50,2023,12,DE05_29144321,1,0,4,1,3,1,2,1.0,1
2023-12-18,51,2023,12,DE05_29144321,6,0,4,1,8,2,2,2.449489742783178,4
2023-12-25,52,2023,12,DE05_29144321,2,1,4,6,4,2,2,1.4142135623730951,1
2023-11-06,45,2023,11,DE05_29144476,9,0,4,4,2,5,2,3.0,9
