iter	RMSE
0	0.5879423546
1	0.5787076792
2	0.5700085692
3	0.5617023138
4	0.553905632
5	0.5467837353
6	0.5405973426
7	0.5342972414
8	0.5285792222
9	0.52334836
10	0.5183501251
11	0.5141627816
12	0.5100735564
13	0.5065016941
14	0.5030847469
15	0.4998488869
16	0.4969130497
17	0.4942289971
18	0.4916593163
19	0.4892928321
20	0.4873994056
21	0.4855043251
22	0.4837144233
23	0.4815193517
24	0.4797728116
25	0.4784022378
26	0.477033607
27	0.4756866878
28	0.474480251
29	0.4729799986
30	0.4721230401
31	0.4711380451
32	0.4702210226
33	0.4694459365
34	0.4684000462
35	0.4673132384
36	0.4664836686
37	0.4654887028
38	0.4647360888
39	0.4640525848
40	0.4634181863
41	0.4623397398
42	0.4615311304
43	0.4609441461
44	0.4604164668
45	0.4599501609
46	0.4594066203
47	0.4587592206
48	0.4583706159
49	0.4579453277
50	0.4574053865
51	0.4569685101
52	0.4565931099
53	0.4559605311
54	0.4554784388
55	0.455083617
56	0.4547803296
57	0.4544645032
58	0.4540746853
59	0.4537305215
60	0.4534667743
61	0.452961295
62	0.4524141724
63	0.4520968686
64	0.4518650305
65	0.4513861881
66	0.4510317471
67	0.4508799479
68	0.450573467
69	0.4502483702
70	0.449957446
71	0.4495353169
72	0.4493368914
73	0.4491851358
74	0.4490132189
75	0.4487568506
76	0.4485853122
77	0.4484441879
78	0.4480623512
79	0.4477719374
80	0.4476212877
81	0.447493746
82	0.4472611398
83	0.4471677772
84	0.4468904955
85	0.4467040495
86	0.4466114438
87	0.4463370098
88	0.4460251827
89	0.4459554529
90	0.4456880495
91	0.4454613911
92	0.4451858106
93	0.4450470221
94	0.444900421
95	0.44466046
96	0.4444134935
97	0.444326117
98	0.4442750576
99	0.4438084951
100	0.4437442927
101	0.4436430088
102	0.4435741863
103	0.443432802
104	0.4433268247
105	0.4431066134
106	0.442995525
107	0.4429424064
108	0.4427733979
109	0.4427360064
110	0.442697189
111	0.4425392244
112	0.4424390888
113	0.4423117093
114	0.4421146773
115	0.4419985429
116	0.4418414822
117	0.441731246
118	0.4415814369
119	0.4415624444
120	0.4412045756
121	0.4411865159
122	0.4410895866
123	0.4408754635
124	0.4406243006
125	0.4404834267
126	0.4404795739
127	0.4403800348
128	0.4402253274
129	0.4398345035
130	0.4395917481
131	0.4394919216
132	0.4393612731
133	0.4393302135
134	0.4392773099
135	0.4392347551
136	0.4391924504
137	0.4390368879
138	0.4389361545
139	0.4387543467
140	0.4385516079
141	0.4384217502
142	0.4383058041
143	0.4381275628
144	0.4380189392
145	0.4379810106
146	0.4379432565
147	0.4378467558
148	0.4376675942
149	0.4374430717
150	0.4373384689
151	0.4373028307
152	0.4371682744
153	0.4370950992
154	0.4368978767
155	0.4368269596
156	0.4367550988
157	0.4367079365
158	0.4366190805
159	0.436524226
160	0.4363595095
161	0.4362948486
162	0.4362052761
163	0.4360715557
164	0.4358545942
165	0.4357920788
166	0.435553272
167	0.435424767
168	0.4352740071
169	0.4351581978
170	0.435083279
171	0.4348667589
172	0.4347966101
173	0.4347389928
174	0.4346845288
175	0.4346348133
176	0.4344308379
177	0.4343515113
178	0.4342731316
179	0.4341988817
180	0.4341010165
181	0.4339735039
182	0.433952681
183	0.4339223616
184	0.4336769331
185	0.4335586839
186	0.4334542617
187	0.433356512
188	0.4333522679
189	0.4332729406
190	0.4332276958
191	0.4332063221
192	0.4331261226
193	0.4328575073
194	0.4327867393
195	0.4326598918
196	0.4326177271
197	0.4325695528
198	0.4323294166
199	0.4321870124
200	0.432052899
201	0.4319785668
202	0.431793684
203	0.4316906908
204	0.4316014934
205	0.431568311
206	0.431495504
207	0.4314327386
208	0.4313791835
209	0.4313649321
210	0.4312104874
211	0.4311729075
212	0.4310762302
213	0.4309676767
214	0.4309524206
215	0.4307993219
216	0.4306831598
217	0.4306461631
218	0.4305768736
219	0.4305293525
220	0.4305166114
221	0.4304849215
222	0.4303231867
223	0.4302002222
224	0.429994617
225	0.4298526073
226	0.4298360186
227	0.4297037274
228	0.4294457007
229	0.4293277073
230	0.4292940906
231	0.4291710813
232	0.429159368
233	0.429040304
234	0.4289353348
235	0.4289224798
