iter	Passed	Remaining
0	141	141763
1	144	72115
2	146	48695
3	148	36889
4	150	29917
5	152	25201
6	154	21858
7	159	19836
8	162	17864
9	165	16355
10	167	15040
11	169	13947
12	176	13368
13	178	12590
14	181	11894
15	183	11270
16	185	10712
17	188	10285
18	190	9846
19	192	9446
20	194	9087
21	197	8760
22	198	8441
23	200	8172
24	204	7972
25	206	7737
26	208	7516
27	210	7303
28	212	7116
29	214	6934
30	217	6797
31	219	6638
32	221	6488
33	223	6347
34	225	6213
35	227	6091
36	229	5975
37	233	5905
38	235	5806
39	237	5705
40	239	5609
41	244	5569
42	247	5504
43	249	5419
44	251	5343
45	269	5595
46	279	5663
47	281	5584
48	285	5536
49	287	5460
50	289	5387
51	292	5326
52	294	5261
53	296	5189
54	298	5126
55	300	5058
56	301	4990
57	303	4924
58	306	4892
59	315	4949
60	318	4898
61	336	5092
62	407	6059
63	409	5988
64	411	5919
65	413	5850
66	415	5781
67	417	5717
68	419	5657
69	426	5664
70	506	6628
71	509	6565
72	511	6498
73	514	6440
74	516	6370
75	518	6305
76	521	6247
77	523	6185
78	525	6125
79	528	6075
80	530	6017
81	532	5959
82	534	5906
83	536	5848
84	538	5791
85	539	5734
86	541	5684
87	544	5643
88	546	5596
89	575	5818
90	577	5771
91	584	5764
92	586	5720
93	606	5849
94	610	5814
95	613	5773
96	615	5733
97	618	5689
98	620	5643
99	622	5602
100	624	5558
101	628	5530
102	630	5487
103	632	5447
104	639	5453
105	645	5441
106	647	5402
107	649	5362
108	650	5320
109	652	5278
110	653	5237
111	655	5197
112	667	5237
113	669	5202
114	689	5305
115	691	5270
116	694	5237
117	706	5279
118	708	5246
119	710	5210
120	712	5177
121	714	5140
122	717	5119
123	720	5088
124	722	5056
125	730	5065
126	733	5043
127	735	5013
128	737	4981
129	739	4948
130	741	4915
131	742	4883
132	744	4854
133	747	4829
134	749	4800
135	750	4769
136	755	4761
137	1060	6624
138	1101	6823
139	1103	6781
140	1106	6738
141	1108	6695
142	1110	6654
143	1112	6613
144	1114	6570
145	1115	6526
146	1117	6483
147	1119	6444
148	1146	6550
149	1170	6633
150	1174	6601
151	1176	6563
152	1179	6526
153	1181	6487
154	1183	6449
155	1185	6411
156	1187	6374
157	1189	6338
158	1191	6302
159	1193	6266
160	1195	6231
161	1197	6195
162	1199	6160
163	1216	6199
164	1225	6201
165	1227	6167
166	1229	6134
167	1231	6101
168	1234	6069
169	1236	6036
170	1238	6002
171	1240	5970
172	1242	5940
173	1244	5909
174	1246	5878
175	1258	5890
176	1260	5860
177	1263	5833
178	1265	5803
179	1267	5772
180	1269	5742
181	1271	5712
182	1273	5687
183	1275	5657
184	1277	5629
185	1280	5602
186	1282	5574
187	1284	5546
188	1285	5514
189	1288	5493
190	1290	5465
191	1291	5436
192	1293	5408
193	1295	5381
194	1297	5355
195	1299	5329
196	1302	5309
197	1304	5281
198	1326	5339
199	1328	5314
200	1330	5288
201	1333	5269
202	1336	5246
203	1338	5224
204	1340	5198
205	1358	5235
206	1360	5210
207	1361	5184
208	1364	5162
209	1365	5137
210	1367	5113
211	1369	5089
212	1371	5065
213	1372	5042
214	1374	5018
215	1376	4994
216	1380	4982
217	1382	4960
218	1384	4938
